Ex.,Name,Ticker,QMV($),HQ Region,HQ Location,Sector
TSX,Petrus Resources Ltd.,PRQ,112919488.1,Canada,AB,Oil & Gas
TSX,Peyto Exploration & Development Corp.,PEY,5442673354,Canada,AB,Oil & Gas
TSX,PFB Corporation,PFB,58093425.95,Canada,AB,Clean Technology
TSX,Pine Cliff Energy Ltd.,PNE,334581807.8,Canada,AB,Oil & Gas
TSX,Polaris Infrastructure Inc.,PIF,248081966.2,USA,USA,Clean Technology
TSX,Prairie Provident Resources Inc.,PPR,73057076.25,Canada,AB,Oil & Gas
TSX,PrairieSky Royalty Ltd.,PSK,7484343273,Canada,AB,Oil & Gas
TSX,Pure Technologies Ltd.,PUR,258304016.8,Canada,AB,Clean Technology
TSX,Questerre Energy Corporation,QEC,131805516.5,Canada,AB,Oil & Gas
TSX,Raging River Exploration Inc.,RRX,2456818207,Canada,AB,Oil & Gas
TSX,RMP Energy Inc.,RMP,110208149.6,Canada,AB,Oil & Gas
TSX,Serinus Energy Inc.,SEN,19657485.25,Canada,AB,Oil & Gas
TSX,Seven Generations Energy Ltd.,VII,10708593123,Canada,AB,Oil & Gas
TSX,Spartan Energy Corp.,SPE,1131183729,Canada,AB,Oil & Gas
TSX,Suncor Energy Inc.,SU,71234213829,Canada,AB,Oil & Gas
TSX,SunOpta Inc.,SOY,839278977.6,Canada,ON,Clean Technology
TSX,Surge Energy Inc.,SGY,632109825.2,Canada,AB,Oil & Gas
TSX,Synex International Inc.,SXI,14227363.61,Canada,BC,Clean Technology
TSX,TAG Oil Ltd.,TAO,49147679.08,Canada,BC,Oil & Gas
TSX,Tamarack Valley Energy Ltd.,TVE,483706986.8,Canada,AB,Oil & Gas
TSX,Tembec Inc.,TMB,175000000,Canada,QC,Clean Technology
TSX,Tethys Petroleum Limited,TPL,6000072.72,Other,Guernsey,Oil & Gas
TSX,TORC Oil & Gas Ltd.,TOG,1535396754,Canada,AB,Oil & Gas
TSX,Toscana Energy Income Corporation,TEI,25802813.87,Canada,AB,Oil & Gas
TSX,Touchstone Exploration Inc.,TXP,14133318.9,Canada,AB,Oil & Gas
TSX,Tourmaline Oil Corp.,TOU,8794629509,Canada,AB,Oil & Gas
TSX,TransAlta Renewables Inc.,RNW,3077296072,Canada,AB,Clean Technology
TSX,TransAtlantic Petroleum Ltd.,TNP,64201517.28,USA,USA,Oil & Gas
TSX,TransGlobe Energy Corporation,TGL,269218849.5,Canada,AB,Oil & Gas
TSX,Trilogy Energy Corp.,TET,686350946,Canada,AB,Oil & Gas
TSX,Valeura Energy Inc.,VLE,52667388.9,Canada,AB,Oil & Gas
TSX,Vermilion Energy Inc.,VET,6413069066,Canada,AB,Oil & Gas
TSX,Village Farms International Inc.,VFF,52423665.75,USA,USA,Clean Technology
TSX,Westport Fuel Systems Inc.,WPRT,185955011.7,Canada,BC,Clean Technology
TSX,Whitecap Resources Inc.,WCP,4408514001,Canada,AB,Oil & Gas
TSX,Yangarra Resources Ltd.,YGR,116397251.9,Canada,AB,Oil & Gas
TSX,Zargon Oil & Gas Ltd.,ZAR,67917844,Canada,AB,Oil & Gas
